ticker,name,entry_price,stop_loss_price,shares,risk_per_share,max_loss,note
2360.TW,致茂,1560.0,1404.0,100,156.0,15600.0,squeeze | 動能:208.33
2345.TW,明泰,1625.0,1462.5,100,162.5,16250.0,squeeze | 動能:205.83
2308.TW,台達電,1460.0,1314.0,100,146.0,14600.0,squeeze | 動能:175.83
7734.TWO,印能,1765.0,1588.5,100,176.5,17650.0,squeeze | 動能:158.33
3081.TWO,聯亞,1615.0,1453.5,100,161.5,16150.0,squeeze | 動能:137.50
2337.TW,旺宏,118.0,106.2,100,11.8,1180.0,squeeze | 動能:41.55
2357.TW,華碩,572.0,514.8,100,57.2,5720.0,squeeze | 動能:41.50
3211.TWO,順達,357.0,321.3,100,35.7,3570.0,squeeze | 動能:26.83
8021.TW,尖點,253.0,227.7,100,25.3,2530.0,squeeze | 動能:21.50
2379.TW,瑞昱,490.0,441.0,100,49.0,4900.0,squeeze | 動能:20.00
