ticker,action,price,quantity,stop_loss,timestamp,status,order_id,filled_price
5274.TWO,BUY,10975.0,100,9877.5,2026-03-29T05:29:32.520863+08:00,filled,ORD-20260329052932-5274.TWO,10975.0
2360.TW,BUY,1560.0,100,1404.0,2026-03-29T05:29:32.521217+08:00,filled,ORD-20260329052932-2360.TW,1560.0
2345.TW,BUY,1625.0,100,1462.5,2026-03-29T05:29:32.521283+08:00,filled,ORD-20260329052932-2345.TW,1625.0
2308.TW,BUY,1460.0,100,1314.0,2026-03-29T05:29:32.521330+08:00,filled,ORD-20260329052932-2308.TW,1460.0
7734.TWO,BUY,1765.0,100,1588.5,2026-03-29T05:29:32.521374+08:00,filled,ORD-20260329052932-7734.TWO,1765.0
2368.TW,BUY,890.0,100,801.0,2026-03-29T05:29:32.521409+08:00,filled,ORD-20260329052932-2368.TW,890.0
3491.TWO,BUY,1530.0,100,1377.0,2026-03-29T05:29:32.521442+08:00,filled,ORD-20260329052932-3491.TWO,1530.0
3081.TWO,BUY,1615.0,100,1453.5,2026-03-29T05:29:32.521474+08:00,filled,ORD-20260329052932-3081.TWO,1615.0
3260.TWO,BUY,339.0,100,305.1,2026-03-29T05:29:32.521513+08:00,filled,ORD-20260329052932-3260.TWO,339.0
3293.TWO,BUY,789.0,100,710.1,2026-03-29T05:29:32.521545+08:00,filled,ORD-20260329052932-3293.TWO,789.0
